teacherId,firstName,lastName,email,password,phone,role,departmentId,needWheelchairAccessibleRoom
tch-werkaferahu-s,Werkaferahu,S,werkaferahu.s@aait.edu,pass123,555-1069,TEACHER,dpt-preeng-001,false
tch-negassa-t,Negassa,T,negassa.t@aait.edu,pass123,555-1070,TEACHER,dpt-preeng-001,true
tch-belete-e,Belete,E,belete.e@aait.edu,pass123,555-1071,TEACHER,dpt-preeng-001,false
tch-tsehay-a,Tsehay,A,tsehay.a@aait.edu,pass123,555-1072,TEACHER,dpt-preeng-001,false
tch-gadisa-h,Gadisa,H,gadisa.h@aait.edu,pass123,555-1073,TEACHER,dpt-preeng-001,false
tch-dereje-w,Dereje,W,dereje.w@aait.edu,pass123,555-1074,TEACHER,dpt-preeng-001,false
tch-almaz-d,Almaz,D,almaz.d@aait.edu,pass123,555-1075,TEACHER,dpt-preeng-001,false
tch-yigermal-b,Yigermal,B,yigermal.b@aait.edu,pass123,555-1076,TEACHER,dpt-preeng-001,false
tch-abera-g,Abera,G,abera.g@aait.edu,pass123,555-1077,TEACHER,dpt-preeng-001,false
tch-asmamaw-m,Asmamaw,M,asmamaw.m@aait.edu,pass123,555-1078,TEACHER,dpt-preeng-001,false
tch-yosef-f,Yosef,F,yosef.f@aait.edu,pass123,555-1079,TEACHER,dpt-preeng-001,false
tch-tilahun-g,Tilahun,G,tilahun.g@aait.edu,pass123,555-1080,TEACHER,dpt-preeng-001,true
tch-bereket-y,Bereket,Y,bereket.y@aait.edu,pass123,555-1081,TEACHER,dpt-preeng-001,false
tch-adamu-g,Adamu,G,adamu.g@aait.edu,pass123,555-1082,TEACHER,dpt-preeng-001,false
tch-molla-m,Molla,M,molla.m@aait.edu,pass123,555-1083,TEACHER,dpt-preeng-001,false
